_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;DIS_BW_UPZ_RCS;LOCATION_ACC;LOCATION_LNG;ORIENTATION_SUP_REC_FBRAC;LOCATION_LAT;RSC01;STATUS;MAX_ESTM_TRAVEL_TIME;LOCATION_ALT;RSC_REF;FINANCIAL_SUP_REC_FBRAC;psu;area;sl_no;rscnr;ID;district;upazila;union;rsc;loan
habibur;02:18,0;0;02:18,0;0;0;1;02:18,0;02:18,0;9;3401;89,3620249;Yes;25,9143294;B;0;120;0;110345;No;10;1;29;345;110345;Lalmonirhat;Aditmari;Saptibari;Bismilla Sanitation;1
rezaul;31:53,0;0;31:53,0;0;0;1;31:53,0;31:53,0;3;0;0;Yes;0;A;0;60;0;105070;Yes;5;1;16;70;105070;Manikgonj;Singair;Talebpur;Rafique Enterprise;1
momin;24:14,0;0;24:14,0;0;0;1;24:14,0;24:14,0;11;3678;91,565281;Yes;24,7533778;B;0;250;0;116181;Yes;16;1;49;181;116181;Sunamgonj;Jaganathpur;Mirpur;Ohed Senitary Center;1
amit;28:28,0;0;28:28,0;0;0;1;28:28,0;28:28,0;10;1625;88,8935982;Yes;25,7822051;B;0;90;0;132339;No;32;1;94;339;132339;Nilphamari;Syedpur;Saidpur Pouroshova;M/S Mohoshin Sanitation Centre;0
amit;51:05,0;0;51:05,0;0;0;1;51:05,0;51:05,0;8;2152;88,9067427;Yes;25,7778171;B;0;80;0;132336;No;32;1;94;336;132336;Nilphamari;Syedpur;Saidpur Pouroshova;M/S Dulu Sanitation Centre;0
aman;09:41,0;0;09:41,0;0;0;1;09:41,0;09:41,0;0;3354;91,4338064;Yes;23,0948563;E;0;0;0;133120;Yes;33;1;98;120;133120;Feni;Fulgazi;G.M. Hat;Siddique Sanitation Centre;1
kamruzzaman;21:52,0;0;21:52,0;0;0;1;21:52,0;21:52,0;4;3335;89,5041409;Yes;22,7302544;B;0;60;0;120230;Yes;20;1;60;230;120230;Khulna;Batiaghata;Batiaghata;Bijoy Sanitary;0
alim;08:02,0;0;08:02,0;0;0;1;08:02,0;08:02,0;7;0;0;Yes;0;A;0;120;0;126272;Yes;26;1;74;272;126272;Bogra;Nandigram;Vatgram;The Ring Well Factory;1
kamruzzaman;39:30,0;0;39:30,0;0;0;1;39:30,0;39:30,0;10;3335;89,5041409;Yes;22,7302544;B;0;50;0;120231;No;20;1;60;231;120231;Khulna;Batiaghata;Batiaghata;Mizan Sanitary;0
rezaul;56:52,0;0;56:52,0;0;0;1;56:52,0;56:52,0;5;0;0;Yes;0;A;0;110;0;105062;Yes;5;1;16;62;105062;Manikgonj;Singair;Joymontop;M/S Chandana Enterprise;1
