Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Year of VWC establishment ,Year village social map was made,Total number of male members at start ,Total number of female members at start ,Total number of male members now ,Total number of female members now ,Is the area arsenic prone ,Total number of Ultra Poor HH ,Total number of poor HH,Total number of non poor HH ,Number of TW platform loan received from BRAC ,Number of DTW received from BRAC ,Number of PSF received from BRAC ,Number of other source  received from BRAC ,Please specify the other source,Number of TW platform loan received from other organisation ,Number of DTW received from other organisation ,Number of PSF received from other organisation ,Number of other source received from other organisation ,Text,VWC01sa: Drinking water source received from BRAC(source A),VWC01sb:Drinking water source received from BRAC(source B),VWC01sc:Drinking water source received from BRAC(source C),VWC02: Performance of VWC ,VWC03_men:Women's participation(men),VWC03_women:Women's participation(women),VWC03_agreed:Women's participation(agreed) 
14172424,24.66752,89.52823,2007,2007,5,6,5,6,no,49,166,45,1,0,0,0,NA,0,0,0,0,NA,A,F,F,A,A,A,A
25241922,24.496459,90.944293,2012,2012,5,6,5,6,no,48,110,104,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
25101002,22.654982,91.79037,2012,2012,5,6,7,4,no,100,81,41,0,0,0,0,No,0,0,0,0,No,F,F,F,B,A,A,A
14233233,23.019723,89.88703,2007,2007,5,6,5,6,yes,32,99,121,0,2,0,0,no,0,0,0,0,o,A,A,F,A,A,A,A
14375254,24.606969,90.739737,2007,2007,5,6,5,6,no,11,84,27,1,0,0,0,No,0,0,0,0,No,A,F,F,B,A,A,A
14355052,23.31043,89.125671,2008,2008,5,6,5,6,no,81,105,104,1,0,0,0,No,0,0,0,0,No,E,F,F,C,A,A,A
25095594,23.160192,90.752797,2012,2012,5,6,5,6,yes,57,10,189,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,C,C
14608890,24.327892,90.086638,2007,2007,5,6,5,6,no,28,32,78,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,B,C,C,C
25195146,23.367822,90.799028,20012,2012,5,6,5,6,no,24,16,176,0,0,0,0,o,0,0,0,0,o,F,F,F,C,B,C,C
25195382,23.335858,90.700162,2012,2012,5,6,5,6,yes,40,55,103,0,1,0,0,o,0,0,0,0,o,F,A,F,C,C,C,C
25205404,22.603237,89.30991,2012,2012,5,6,5,6,no,42,49,64,0,0,0,0,NA,0,0,0,2,AIRP,F,F,F,B,A,A,A
25016255,24.926118,89.085519,2012,2012,5,6,5,6,no,61,113,67,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
14548183,25.617406,88.923696,2006,2006,5,6,5,6,no,71,140,111,1,0,0,0,no ,0,0,0,0,no tw platform lone,C,F,F,C,C,C,C
14608789,24.32906,90.082605,2007,2007,5,6,5,6,no,39,56,61,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,B,C,C,C
25246485,24.54696,90.86596,2012,2012,5,6,5,6,no,48,20,216,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
