Sl..No,ID,code128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,HH_PSU,wealth,Ultra.poor,Poor,Non.Poor,Total,Remarks,Print Sl .no
11312,1434485031,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,31,NP,28,48,90,166,,2
11312,1434485032,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,32,NP,28,48,90,166,,2
11312,1434485033,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,33,NP,28,48,90,166,,2
11312,1434485034,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,34,NP,28,48,90,166,,2
11312,1434485035,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,35,NP,28,48,90,166,,2
11312,1434485036,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,36,NP,28,48,90,166,,2
,,#NAME?,,,,,,,,,,,,,,,,2
,,#NAME?,,,,,,,,,,,,,,,,2
11581,1436515311,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,11,UP,0,55,98,153,,2
11581,1436515312,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,12,UP,0,55,98,153,,2
11581,1436515313,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,13,UP,0,55,98,153,,2
11581,1436515314,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,14,UP,0,55,98,153,,2
11581,1436515315,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,15,UP,0,55,98,153,,2
11581,1436515316,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,16,UP,0,55,98,153,,2
11581,1436515321,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,21,PP,0,55,98,153,,2
11581,1436515322,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,22,PP,0,55,98,153,,2
11581,1436515323,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,23,PP,0,55,98,153,,2
11581,1436515324,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,24,PP,0,55,98,153,,2
11581,1436515325,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,25,PP,0,55,98,153,,2
11581,1436515326,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,26,PP,0,55,98,153,,2
11581,1436515331,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,31,NP,0,55,98,153,,2
11581,1436515332,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,32,NP,0,55,98,153,,2
11581,1436515333,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,33,NP,0,55,98,153,,2
11581,1436515334,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,34,NP,0,55,98,153,,2
11581,1436515335,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,35,NP,0,55,98,153,,2
11581,1436515336,#NAME?,14,Gazipur,36,Kapasia,51,Singhsre,53,Bitipara-26,36,NP,0,55,98,153,,2
,,#NAME?,,,,,,,,,,,,,,,,2
,,#NAME?,,,,,,,,,,,,,,,,2
12536,1463919311,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,11,UP,32,129,54,215,,2
12536,1463919312,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,12,UP,32,129,54,215,,2
12536,1463919313,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,13,UP,32,129,54,215,,2
12536,1463919314,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,14,UP,32,129,54,215,,2
12536,1463919315,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,15,UP,32,129,54,215,,2
12536,1463919316,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,16,UP,32,129,54,215,,2
12536,1463919321,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,21,PP,32,129,54,215,,2
12536,1463919322,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,22,PP,32,129,54,215,,2
12536,1463919323,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,23,PP,32,129,54,215,,2
12536,1463919324,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,24,PP,32,129,54,215,,2
12536,1463919325,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,25,PP,32,129,54,215,,2
12536,1463919326,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,26,PP,32,129,54,215,,2
12536,1463919331,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,31,NP,32,129,54,215,,2
12536,1463919332,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,32,NP,32,129,54,215,,2
12536,1463919333,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,33,NP,32,129,54,215,,2
12536,1463919334,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,34,NP,32,129,54,215,,2
12536,1463919335,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,35,NP,32,129,54,215,,2
12536,1463919336,#NAME?,14,Manikgonj,63,Shibalaya,91,Uthali,93,Birbasail,36,NP,32,129,54,215,,2
,,#NAME?,,,,,,,,,,,,,,,,2
,,#NAME?,,,,,,,,,,,,,,,,2
38249,1424333411,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,11,UP,12,108,50,170,,3
38249,1424333412,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,12,UP,12,108,50,170,,3
38249,1424333413,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,13,UP,12,108,50,170,,3
38249,1424333414,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,14,UP,12,108,50,170,,3
38249,1424333415,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,15,UP,12,108,50,170,,3
38249,1424333416,#NAME?,14,Tangail  ,24,Gopalpur,33,Alomnagar ,34,Joynagar- 1,16,UP,12,108,50,170,,3
